,dtype,n_missing,missing_ratio,n_unique
br_000,float64,49264,0.8210666666666666,3806
bq_000,float64,48722,0.8120333333333334,4276
bp_000,float64,47740,0.7956666666666666,4968
bo_000,float64,46333,0.7722166666666667,5838
ab_000,float64,46329,0.77215,29
cr_000,float64,46329,0.77215,74
bn_000,float64,44009,0.7334833333333334,7096
bm_000,float64,39549,0.65915,9037
bl_000,float64,27277,0.45461666666666667,11969
bk_000,float64,23034,0.3839,12917
cg_000,float64,14861,0.24768333333333334,646
ch_000,float64,14861,0.24768333333333334,2
cf_000,float64,14861,0.24768333333333334,525
co_000,float64,14861,0.24768333333333334,1860
ad_000,float64,14861,0.24768333333333334,1886
cx_000,float64,13808,0.23013333333333333,25236
cy_000,float64,13808,0.23013333333333333,748
cz_000,float64,13808,0.23013333333333333,10727
db_000,float64,13808,0.23013333333333333,146
cv_000,float64,13808,0.23013333333333333,32928
ct_000,float64,13808,0.23013333333333333,2617
da_000,float64,13808,0.23013333333333333,263
cu_000,float64,13808,0.23013333333333333,3519
dc_000,float64,13808,0.23013333333333333,33177
ec_00,float64,10239,0.17065,31141
cm_000,float64,9877,0.16461666666666666,2123
ed_000,float64,9553,0.15921666666666667,3930
cl_000,float64,9553,0.15921666666666667,972
ak_000,float64,4400,0.07333333333333333,159
ca_000,float64,4356,0.0726,28318
dm_000,float64,4009,0.06681666666666666,221
dg_000,float64,4008,0.0668,1313
df_000,float64,4008,0.0668,402
dh_000,float64,4008,0.0668,1055
dl_000,float64,4008,0.0668,181
dj_000,float64,4007,0.06678333333333333,72
eb_000,float64,4007,0.06678333333333333,27831
dk_000,float64,4007,0.06678333333333333,256
di_000,float64,4006,0.06676666666666667,5618
ac_000,float64,3335,0.05558333333333333,2061
bx_000,float64,3257,0.054283333333333336,52848
cc_000,float64,3255,0.05425,43859
ds_000,float64,2727,0.04545,26312
dt_000,float64,2727,0.04545,15910
bd_000,float64,2727,0.04545,3565
du_000,float64,2726,0.04543333333333333,28495
dq_000,float64,2726,0.04543333333333333,8110
dp_000,float64,2726,0.04543333333333333,11568
dr_000,float64,2726,0.04543333333333333,6682
dv_000,float64,2726,0.04543333333333333,30139
bc_000,float64,2725,0.04541666666666667,2807
de_000,float64,2724,0.0454,1893
cp_000,float64,2724,0.0454,2315
ef_000,float64,2724,0.0454,28
do_000,float64,2724,0.0454,20514
dy_000,float64,2724,0.0454,6311
eg_000,float64,2723,0.04538333333333333,49
ar_000,float64,2723,0.04538333333333333,68
dz_000,float64,2723,0.04538333333333333,47
dx_000,float64,2723,0.04538333333333333,14735
bz_000,float64,2723,0.04538333333333333,16547
ea_000,float64,2723,0.04538333333333333,134
be_000,float64,2503,0.041716666666666666,3918
dd_000,float64,2503,0.041716666666666666,6563
ce_000,float64,2502,0.0417,22075
ax_000,float64,2501,0.041683333333333336,2215
bf_000,float64,2500,0.041666666666666664,1098
af_000,float64,2500,0.041666666666666664,418
ae_000,float64,2500,0.041666666666666664,333
av_000,float64,2500,0.041666666666666664,3860
bs_000,float64,726,0.0121,12834
cb_000,float64,726,0.0121,30170
cq_000,float64,691,0.011516666666666666,49347
bu_000,float64,691,0.011516666666666666,49349
bv_000,float64,691,0.011516666666666666,49346
dn_000,float64,691,0.011516666666666666,21098
ba_002,float64,688,0.011466666666666667,35958
ba_005,float64,688,0.011466666666666667,29593
ba_004,float64,688,0.011466666666666667,30673
ba_006,float64,688,0.011466666666666667,29281
ba_003,float64,688,0.011466666666666667,32914
ba_000,float64,688,0.011466666666666667,44840
ba_009,float64,688,0.011466666666666667,6797
ba_001,float64,688,0.011466666666666667,40164
ba_007,float64,688,0.011466666666666667,25166
ba_008,float64,688,0.011466666666666667,11816
cn_005,float64,687,0.01145,38554
cn_009,float64,687,0.01145,3055
cn_007,float64,687,0.01145,21996
cn_008,float64,687,0.01145,10117
cn_002,float64,687,0.01145,14789
cn_000,float64,687,0.01145,1530
cn_004,float64,687,0.01145,42086
cn_003,float64,687,0.01145,34110
cn_006,float64,687,0.01145,32426
cn_001,float64,687,0.01145,5419
cd_000,float64,676,0.011266666666666666,1
ag_000,float64,671,0.011183333333333333,154
ag_005,float64,671,0.011183333333333333,40797
ag_006,float64,671,0.011183333333333333,40615
ag_004,float64,671,0.011183333333333333,23071
ag_008,float64,671,0.011183333333333333,18932
ag_002,float64,671,0.011183333333333333,2422
ag_001,float64,671,0.011183333333333333,617
ag_003,float64,671,0.011183333333333333,7879
ay_009,float64,671,0.011183333333333333,447
ee_007,float64,671,0.011183333333333333,30469
ee_006,float64,671,0.011183333333333333,31795
ee_004,float64,671,0.011183333333333333,35188
ee_005,float64,671,0.011183333333333333,36288
ee_009,float64,671,0.011183333333333333,9724
ee_008,float64,671,0.011183333333333333,24213
ee_000,float64,671,0.011183333333333333,41815
ee_001,float64,671,0.011183333333333333,38245
ee_003,float64,671,0.011183333333333333,31711
ee_002,float64,671,0.011183333333333333,34488
az_002,float64,671,0.011183333333333333,9064
az_000,float64,671,0.011183333333333333,9184
az_001,float64,671,0.011183333333333333,7378
ay_005,float64,671,0.011183333333333333,19696
ay_007,float64,671,0.011183333333333333,38651
ay_008,float64,671,0.011183333333333333,37822
ay_006,float64,671,0.011183333333333333,34628
ag_007,float64,671,0.011183333333333333,32125
ag_009,float64,671,0.011183333333333333,5355
ay_000,float64,671,0.011183333333333333,466
ay_001,float64,671,0.011183333333333333,919
ay_004,float64,671,0.011183333333333333,1767
ay_003,float64,671,0.011183333333333333,1032
ay_002,float64,671,0.011183333333333333,986
az_004,float64,671,0.011183333333333333,34077
az_008,float64,671,0.011183333333333333,1271
az_009,float64,671,0.011183333333333333,336
az_003,float64,671,0.011183333333333333,21530
az_006,float64,671,0.011183333333333333,12306
az_005,float64,671,0.011183333333333333,44601
az_007,float64,671,0.011183333333333333,3876
cs_001,float64,669,0.01115,3343
cs_005,float64,669,0.01115,42558
cs_006,float64,669,0.01115,40916
cs_003,float64,669,0.01115,35193
cs_004,float64,669,0.01115,34558
cs_007,float64,669,0.01115,17300
cs_000,float64,669,0.01115,9297
cs_009,float64,669,0.01115,53
cs_002,float64,669,0.01115,28277
cs_008,float64,669,0.01115,773
ah_000,float64,645,0.01075,43571
bb_000,float64,645,0.01075,49392
al_000,float64,642,0.0107,9017
bh_000,float64,642,0.0107,25240
ap_000,float64,642,0.0107,44672
an_000,float64,642,0.0107,48204
bg_000,float64,642,0.0107,43568
ai_000,float64,629,0.010483333333333334,4055
aj_000,float64,629,0.010483333333333334,894
at_000,float64,629,0.010483333333333334,3511
as_000,float64,629,0.010483333333333334,21
am_0,float64,629,0.010483333333333334,10582
au_000,float64,629,0.010483333333333334,56
aq_000,float64,589,0.009816666666666666,34921
ao_000,float64,589,0.009816666666666666,47723
bj_000,float64,589,0.009816666666666666,38359
bi_000,float64,589,0.009816666666666666,42098
by_000,float64,473,0.007883333333333332,22627
ck_000,float64,338,0.005633333333333333,45043
ci_000,float64,338,0.005633333333333333,45964
cj_000,float64,338,0.005633333333333333,7617
bt_000,float64,167,0.0027833333333333334,45480
aa_000,int64,0,0.0,22095
