,dtype,n_missing,missing_ratio,n_unique
V1,float64,0,0.0,49883
V2,float64,0,0.0,854
V3,float64,0,0.0,871
V4,float64,0,0.0,78429
V5,float64,0,0.0,80119
V6,float64,0,0.0,77198
V7,float64,0,0.0,79001
V8,float64,0,0.0,78272
V9,float64,0,0.0,76727
V10,float64,0,0.0,72445
V11,float64,0,0.0,73939
V12,float64,0,0.0,76580
V13,float64,0,0.0,78893
V14,float64,0,0.0,78948
V15,float64,0,0.0,79167
V16,float64,0,0.0,81910
V17,float64,0,0.0,81865
V18,float64,0,0.0,81469
V19,float64,0,0.0,77497
V20,float64,0,0.0,82216
V21,float64,0,0.0,81534
V22,float64,0,0.0,75989
V23,float64,0,0.0,80108
V24,float64,0,0.0,80124
V25,float64,0,0.0,82018
V26,float64,0,0.0,81783
V27,float64,0,0.0,81574
V28,float64,0,0.0,77513
V29,float64,0,0.0,857
V30,float64,0,0.0,82218
V31,float64,0,0.0,79105
V32,float64,0,0.0,78979
V33,float64,0,0.0,75973
V34,float64,0,0.0,78980
V35,float64,0,0.0,82248
V36,float64,0,0.0,81452
V37,float64,0,0.0,72571
V38,float64,0,0.0,869
V39,float64,0,0.0,72535
V40,float64,0,0.0,79167
V41,float64,0,0.0,81830
V42,float64,0,0.0,79012
V43,float64,0,0.0,76026
V44,float64,0,0.0,73851
V45,float64,0,0.0,78963
V46,float64,0,0.0,78410
V47,float64,0,0.0,76748
V48,float64,0,0.0,78323
V49,float64,0,0.0,72534
V50,float64,0,0.0,81484
V51,float64,0,0.0,79239
V52,float64,0,0.0,76003
V53,float64,0,0.0,50002
V54,float64,0,0.0,77225
